id,label
1,0.999269
10,0.000113
100,0.000015
1000,0.999613
10000,0.999930
10001,0.000074
10002,0.000121
10003,0.998342
10004,0.959038
10005,0.000006
10006,0.000013
10007,0.000000
10008,0.000000
10009,0.000000
1001,0.000003
10010,0.999824
10011,0.999730
10012,0.000000
10013,0.000563
10014,0.000046
10015,0.999846
10016,0.000051
10017,0.000005
10018,0.000636
10019,0.000051
1002,0.999619
10020,0.000002
10021,0.000043
10022,0.999565
10023,0.999818
10024,0.999432
10025,0.998028
10026,0.999794
10027,0.999487
10028,0.000005
10029,0.999842
1003,0.999936
10030,0.999831
10031,0.000004
10032,0.000004
10033,0.000001
10034,0.999518
10035,0.751066
10036,0.999922
10037,0.000629
10038,0.999751
10039,0.999883
1004,0.998888
10040,0.000021
10041,0.999897
10042,0.939681
10043,0.999983
10044,0.000003
10045,0.613364
10046,0.995768
10047,0.999875
10048,0.999607
10049,0.000001
1005,0.000055
10050,0.000001
10051,0.000000
10052,0.000020
10053,0.999013
10054,0.000002
10055,0.000001
10056,0.999937
10057,0.049301
10058,0.996237
10059,0.874471
1006,0.999902
10060,0.999230
10061,0.000215
10062,0.000075
10063,0.998937
10064,0.993557
10065,0.000097
10066,0.000001
10067,0.000000
10068,0.000040
10069,0.000005
1007,0.999485
10070,0.995407
10071,0.000015
10072,0.000003
10073,0.994946
10074,0.000000
10075,0.000102
10076,0.000001
10077,0.000109
10078,0.999654
10079,0.000002
1008,0.000000
10080,0.999726
10081,0.012120
10082,0.000207
10083,0.000008
10084,0.999970
10085,0.999908
10086,0.999900
10087,0.999521
10088,0.000308
10089,0.000097
1009,0.999705
10090,0.000000
10091,0.000029
10092,0.950303
10093,0.000153
10094,0.999553
10095,0.000016
10096,0.999224
10097,0.999987
10098,0.999925
10099,0.000005
101,0.000001
1010,0.987612
10100,0.999723
10101,0.999902
10102,0.000001
10103,0.000008
10104,0.999434
10105,0.912005
10106,0.000010
10107,0.000014
10108,0.999910
10109,0.000005
1011,0.000001
10110,0.999848
10111,0.000054
10112,0.000004
10113,0.999795
10114,0.000001
10115,0.000030
10116,0.999961
10117,0.000036
10118,0.000137
10119,0.999498
1012,0.999083
10120,0.000000
10121,0.000003
10122,0.000006
10123,0.000006
10124,0.999903
10125,0.000216
10126,0.000023
10127,0.999794
10128,0.000024
10129,0.999400
1013,0.000009
10130,0.000002
10131,0.999784
10132,0.000000
10133,0.000001
10134,0.998221
10135,0.999757
10136,0.999730
10137,0.000004
10138,0.999491
10139,0.999085
1014,0.999929
10140,0.999867
10141,0.999972
10142,0.996327
10143,0.999684
10144,0.999267
10145,0.000088
10146,0.999911
10147,0.999829
10148,0.958477
10149,0.000005
1015,0.000005
10150,0.064972
10151,0.000001
10152,0.000011
10153,0.995558
10154,0.000017
10155,0.999907
10156,0.000041
10157,0.000005
10158,0.000011
10159,0.998239
1016,0.945903
10160,0.000000
10161,0.000043
10162,0.999586
10163,0.999897
10164,0.999759
10165,0.997073
10166,0.999855
10167,0.999637
10168,0.999753
10169,0.999965
1017,0.000003
10170,0.000004
10171,0.000083
10172,0.999128
10173,0.000002
10174,0.000004
10175,0.000058
10176,0.999781
10177,0.999862
10178,0.000597
10179,0.999892
1018,0.999801
10180,0.000003
10181,0.994936
10182,0.000097
10183,0.000013
10184,0.000076
10185,0.999827
10186,0.999958
10187,0.999963
10188,0.000125
10189,0.999824
1019,0.999939
10190,0.999695
10191,0.000016
10192,0.991464
10193,0.000000
10194,0.000019
10195,0.999916
10196,0.999775
10197,0.999536
10198,0.000011
10199,0.000002
102,0.999913
1020,0.000024
10200,0.000009
10201,0.000039
10202,0.999706
10203,0.999914
10204,0.000002
10205,0.000000
10206,0.000006
10207,0.999799
10208,0.999818
10209,0.999625
1021,0.013104
10210,0.000035
10211,0.000005
10212,0.000006
10213,0.887900
10214,0.999974
10215,0.000010
10216,0.992306
10217,0.998415
10218,0.000010
10219,0.024079
1022,0.000000
10220,0.999820
10221,0.988889
10222,0.717078
10223,0.000001
10224,0.000004
10225,0.000002
10226,0.000005
10227,0.000081
10228,0.001576
10229,0.000105
1023,0.000006
10230,0.088702
10231,0.999633
10232,0.999691
10233,0.997326
10234,0.000054
10235,0.000001
10236,0.000001
10237,0.000000
10238,0.999748
10239,0.000003
1024,0.000000
10240,0.000003
10241,0.993765
10242,0.999709
10243,0.986676
10244,0.999805
10245,0.999441
10246,0.983771
10247,0.999850
10248,0.000115
10249,0.997942
1025,0.000023
10250,0.000233
10251,0.999906
10252,0.000018
10253,0.999827
10254,0.999923
10255,0.999874
10256,0.999268
10257,0.000159
10258,0.999542
10259,0.999159
1026,0.000315
10260,0.000122
10261,0.999764
10262,0.999886
10263,0.999979
10264,0.000000
10265,0.000014
10266,0.000008
10267,0.000005
10268,0.999288
10269,0.993519
1027,0.000001
10270,0.000016
10271,0.999898
10272,0.000001
10273,0.001228
10274,0.000005
10275,0.999074
10276,0.000916
10277,0.737525
10278,0.014356
10279,0.999705
1028,0.000002
10280,0.997299
10281,0.998287
10282,0.260652
10283,0.999895
10284,0.999731
10285,0.999066
10286,0.000005
10287,0.000003
10288,0.000002
10289,0.000055
1029,0.000283
10290,0.999786
10291,0.999480
10292,0.000000
10293,0.999650
10294,0.000025
10295,0.000000
10296,0.000051
10297,0.999955
10298,0.999931
10299,0.000031
103,0.000018
1030,0.000017
10300,0.999741
10301,0.000009
10302,0.991954
10303,0.000015
10304,0.999984
10305,0.999560
10306,0.999352
10307,0.952193
10308,0.000207
10309,0.000013
1031,0.000002
10310,0.171140
10311,0.000001
10312,0.000003
10313,0.999898
10314,0.000012
10315,0.999558
10316,0.999723
10317,0.999689
10318,0.000007
10319,0.990609
1032,0.978845
10320,0.999751
10321,0.999866
10322,0.999665
10323,0.988200
10324,0.999318
10325,0.000000
10326,0.999950
10327,0.724517
10328,0.000096
10329,0.999816
1033,0.988229
10330,0.000003
10331,0.000089
10332,0.999181
10333,0.000012
10334,0.000077
10335,0.999877
10336,0.000025
10337,0.000217
10338,0.007760
10339,0.999349
1034,0.999332
10340,0.000001
10341,0.000072
10342,0.999826
10343,0.000064
10344,0.999405
10345,0.996162
10346,0.000002
10347,0.005259
10348,0.870452
10349,0.999171
1035,0.000027
10350,0.999939
10351,0.000037
10352,0.999802
10353,0.000029
10354,0.996937
10355,0.999645
10356,0.000000
10357,0.999589
10358,0.000000
10359,0.999679
1036,0.968130
10360,0.000000
10361,0.000129
10362,0.000004
10363,0.000001
10364,0.999957
10365,0.000053
10366,0.999808
10367,0.646394
10368,0.999945
10369,0.000005
1037,0.999895
10370,0.996060
10371,0.000006
10372,0.999414
10373,0.000030
10374,0.995101
10375,0.017753
10376,0.000010
10377,0.000018
10378,0.000000
10379,0.999753
1038,0.999883
10380,0.999590
10381,0.000005
10382,0.000002
10383,0.000045
10384,0.999136
10385,0.999763
10386,0.000000
10387,0.999193
10388,0.000069
10389,0.000030
1039,0.000093
10390,0.999829
10391,0.000823
10392,0.000011
10393,0.000001
10394,0.000016
10395,0.999136
10396,0.999938
10397,0.000006
10398,0.000039
10399,0.999070
104,0.000011
1040,0.999979
10400,0.999940
10401,0.000445
10402,0.000005
10403,0.999972
10404,0.000039
10405,0.000000
10406,0.801183
10407,0.000003
10408,0.000017
10409,0.999821
1041,0.000136
10410,0.000006
10411,0.000409
10412,0.000005
10413,0.000003
10414,0.993153
10415,0.999775
10416,0.000002
10417,0.000003
10418,0.000121
10419,0.998010
1042,0.671818
10420,0.999469
10421,0.999394
10422,0.979255
10423,0.000010
10424,0.000009
10425,0.999976
10426,0.000000
10427,0.999964
10428,0.070383
10429,0.998143
1043,0.000000
10430,0.001836
10431,0.000008
10432,0.997683
10433,0.979354
10434,0.999707
10435,0.000000
10436,0.999886
10437,0.000004
10438,0.999483
10439,0.091640
1044,0.979086
10440,0.000113
10441,0.000000
10442,0.999849
10443,0.993706
10444,0.999701
10445,0.999927
10446,0.998894
10447,0.999971
10448,0.999841
10449,0.999993
1045,0.000006
10450,0.000001
10451,0.000012
10452,0.002161
10453,0.999830
